c_alfabeta,principio_activo,marca_comercial,presentacion,laboratorio,potencia,potencia_medida,unidades_presentacion,pactivo_concentracion,periodo,copago
52044,losartán+hidroclorotiazida,TACICUL D,50/12.5 mg comp.rec.x 30,Denver Farma,"62,5",mg,30,"losartán+hidroclorotiazida_62,5_mg_30",202504,7543.29
52060,dexketoprofeno,TACRAF GEL,gel x 60 g,Trb-Pharma,"750,0",mg,1,"dexketoprofeno_750,0_mg_1",202504,5900.0
52064,acetilcisteína,DOSOMUK,600 mg comp.dispers.x 10,Beta,"600,0",mg,10,"acetilcisteína_600,0_mg_10",202504,5898.8
52065,acetilcisteína,DOSOMUK,600 mg comp.dispers.x 20,Beta,"600,0",mg,20,"acetilcisteína_600,0_mg_20",202504,10025.23
52067,ciprofloxacina,CIRIAX,500 mg comp.x 20,Roemmers,"500,0",mg,20,"ciprofloxacina_500,0_mg_20",202504,10962.72
52070,pregabalina,PLENICA,50 mg cáps.x 15,Roemmers,"50,0",mg,15,"pregabalina_50,0_mg_15",202504,5500.19
52071,pregabalina,PLENICA,50 mg cáps.x 30,Roemmers,"50,0",mg,30,"pregabalina_50,0_mg_30",202504,10686.4
52072,vit.d3,RAQUIFEROL D3,fco.gotero x 4 ml,Roemmers,"2,0",mg,1,"vit.d3_2,0_mg_1",202504,5674.63
52073,sildenafil,VIMAX FLASH 100,comp.dis.buc.rap.x 2,Roemmers,"100,0",mg,2,"sildenafil_100,0_mg_2",202504,3010.54
52074,sildenafil,VIMAX FLASH 100,comp.dis.buc.rap.x 10,Roemmers,"100,0",mg,10,"sildenafil_100,0_mg_10",202504,14629.3
52075,trimebutina+simeticona,PLIDEX S,200/120 mg comp.rec.x 30,Roemmers,"320,0",mg,30,"trimebutina+simeticona_320,0_mg_30",202504,7405.84
52076,trimebutina+simeticona,PLIDEX S,200/120 mg comp.rec.x 60,Roemmers,"320,0",mg,60,"trimebutina+simeticona_320,0_mg_60",202504,12382.76
52078,vit.d3,RAQUIFEROL D3,sol.oral x 2 ml,Roemmers,"2,5",mg,1,"vit.d3_2,5_mg_1",202504,4797.3
52079,modafinilo,VISPER,200 mg comp.x 15,Ariston,"200,0",mg,15,"modafinilo_200,0_mg_15",202504,12049.45
52080,modafinilo,VISPER,200 mg comp.x 30,Ariston,"200,0",mg,30,"modafinilo_200,0_mg_30",202504,22860.85
52091,sacubitrilo+valsartán,ENTRESTO,50 mg comp.rec.x 30,Siegfried,"50,0",mg,30,"sacubitrilo+valsartán_50,0_mg_30",202504,15262.6
52092,sacubitrilo+valsartán,ENTRESTO,100 mg comp.rec.x 30,Siegfried,"100,0",mg,30,"sacubitrilo+valsartán_100,0_mg_30",202504,15262.6
52093,sacubitrilo+valsartán,ENTRESTO,100 mg comp.rec.x 60,Siegfried,"100,0",mg,60,"sacubitrilo+valsartán_100,0_mg_60",202504,30525.21
52094,sacubitrilo+valsartán,ENTRESTO,200 mg comp.rec.x 60,Siegfried,"200,0",mg,60,"sacubitrilo+valsartán_200,0_mg_60",202504,30525.21
52110,tadalafilo,TADAL 20,20 mg comp.rec.x 2,Finadiet,"20,0",mg,2,"tadalafilo_20,0_mg_2",202504,8122.45
52111,tadalafilo,TADAL 20,20 mg comp.rec.x 4,Finadiet,"20,0",mg,4,"tadalafilo_20,0_mg_4",202504,15884.16
52112,tadalafilo,TADAL 5,5 mg comp.rec.x 28,Finadiet,"5,0",mg,28,"tadalafilo_5,0_mg_28",202504,38268.8
52115,diclofenac sódico+omeprazol,BLOKIUM PROTECT,cáps.x 10,Casasco,"85,0",mg,10,"diclofenac sódico+omeprazol_85,0_mg_10",202504,9222.26
52122,"amlodipina+losartán,potásico",NITEN MAX 5/50,5/50 mg comp.x 30,Teva Argentina,"55,0",mg,30,"amlodipina+losartán,potásico_55,0_mg_30",202504,12840.02
52123,"amlodipina+losartán,potásico",NITEN MAX 5/100,5/100 mg comp.x 30,Teva Argentina,"105,0",mg,30,"amlodipina+losartán,potásico_105,0_mg_30",202504,14322.02
52142,budesonide+formoterol,NEUMOCORT PLUS,200/6mcg aer.inh.x 60ds.,Cassarß,"206,0",mcg,60,"budesonide+formoterol_206,0_mcg_60",202504,5224.06
52146,"fenofíbrico,ác.",SERUBEL 45,45 mg cáps.lib.prol.x 30,Montpellier,"45,0",mg,30,"fenofíbrico,ác._45,0_mg_30",202504,9423.16
52147,"fenofíbrico,ác.",SERUBEL 135,135 mg cáps.lib.prol.x30,Montpellier,"135,0",mg,30,"fenofíbrico,ác._135,0_mg_30",202504,11094.34
52148,clozapina,CLOZAPINA ROSPAW,100 mg comp.x 90,Rospaw,"100,0",mg,90,"clozapina_100,0_mg_90",202504,0.0
52150,ciprofloxacina+dexametasona,CIPROCLER COLIRIO,susp.oft.x 5ml,Monserrat,"20,0",mg,1,"ciprofloxacina+dexametasona_20,0_mg_1",202504,4424.99
52151,travoprost,GLAUNOT SC,sol.oft.x 2.5 ml,Lab Internacion,"100,0",mcg,1,"travoprost_100,0_mcg_1",202504,8295.04
52158,fenofibrato micronizado,FENOSANE,200 mg cáps.x 30,Eczane,"200,0",mg,30,"fenofibrato micronizado_200,0_mg_30",202504,8692.28
52169,montelukast,AIREAL 10,10 mg comp.rec.x 30,Siegfried,"10,0",mg,30,"montelukast_10,0_mg_30",202504,17786.98
52170,montelukast,AIREAL 5,5 mg comp.mast.x 30,Siegfried,"5,0",mg,30,"montelukast_5,0_mg_30",202504,16972.21
52171,montelukast,AIREAL 4,4 mg comp.mast.x 30,Siegfried,"4,0",mg,30,"montelukast_4,0_mg_30",202504,15834.85
52177,aciclovir+hidrocortisona,LISOVYR CORT,pomo x 5 g,Elea,"250,0",mg,1,"aciclovir+hidrocortisona_250,0_mg_1",202504,3108.77
52179,"aluminio,hidr.+magn.hidr.+simet.",MYLANTA PLUS,liq.x 160 ml,Elea,"32960,0",mg,1,"aluminio,hidr.+magn.hidr.+simet._32960,0_mg_1",202504,324.92
52180,"aluminio,hidr.+magnesio,hidr.",MYLANTA SIMPLE,líq.x 160 ml,Elea,"131600,0",mg,1,"aluminio,hidr.+magnesio,hidr._131600,0_mg_1",202504,9940.75
52187,paroxetina,PAROXIN,10 mg comp.rec.x 30,Rospaw,"10,0",mg,30,"paroxetina_10,0_mg_30",202504,6760.59
52188,paroxetina,PAROXIN,20 mg comp.rec.x 30,Rospaw,"20,0",mg,30,"paroxetina_20,0_mg_30",202504,14194.27
52189,paroxetina,PAROXIN,30 mg comp.rec.x 30,Rospaw,"30,0",mg,30,"paroxetina_30,0_mg_30",202504,246.28
52190,paroxetina,PAROXIN,40 mg comp.rec.x 30,Rospaw,"40,0",mg,30,"paroxetina_40,0_mg_30",202504,322.59
52192,levetiracetam,LEVITAL,sol.oral x 200 ml,Siegfried,"20000,0",mg,1,"levetiracetam_20000,0_mg_1",202504,46519.27
52217,dutasteride,DOXATEN,0.5 mg cáps.x 30,Beta,"500,0",mcg,30,"dutasteride_500,0_mcg_30",202504,15209.2
52237,rosuvastatina+ezetimibe,LIPOGLUTAREN DUO,10/10 mg comp.rec.x30+30,Craveri,"20,0",mg,60,"rosuvastatina+ezetimibe_20,0_mg_60",202504,13324.25
52238,rosuvastatina+ezetimibe,LIPOGLUTAREN DUO,20/10 mg comp.rec.x30+30,Craveri,"30,0",mg,60,"rosuvastatina+ezetimibe_30,0_mg_60",202504,23299.73
52251,tadalafilo,PERDURAL,5 mg comp.rec.x 28,Casasco,"5,0",mg,28,"tadalafilo_5,0_mg_28",202504,38306.27
52261,dutasteride+tamsulosina,REDUPROST DUO,cáps.duras x 30,Raffo,"900,0",mcg,30,"dutasteride+tamsulosina_900,0_mcg_30",202504,25474.7
52279,cefalexina,SINURIT,1000 mg comp.rec.x 16,Microsules Arg.,"1000,0",mg,16,"cefalexina_1000,0_mg_16",202504,7123.35
52310,tramadol+paracetamol,ULTRAGESIC PLUS,37.5/325 mg comp.x 10,Raffo,"362,5",mg,10,"tramadol+paracetamol_362,5_mg_10",202504,7491.83
52311,tramadol+paracetamol,ULTRAGESIC PLUS,37.5/325 mg comp.x 20,Raffo,"362,5",mg,20,"tramadol+paracetamol_362,5_mg_20",202504,14145.41
52312,tramadol+paracetamol,ULTRAGESIC PLUS,37.5/325 mg comp.x 30,Raffo,"362,5",mg,30,"tramadol+paracetamol_362,5_mg_30",202504,17872.27
52313,cilostazol,ZOLPLAT,50 mg comp.x 30,Nolter,"50,0",mg,30,"cilostazol_50,0_mg_30",202504,5155.54
52314,cilostazol,ZOLPLAT,100 mg comp.x 30,Nolter,"100,0",mg,30,"cilostazol_100,0_mg_30",202504,9116.7
52315,"hierro+vit.b12+fólico,ác.",HEMOVIT,comp.rec.x 30,Baliarda,"100,7",mg,30,"hierro+vit.b12+fólico,ác._100,7_mg_30",202504,10177.49
52316,"hierro+vit.b12+fólico,ác.",HEMOVIT,comp.rec.x 60,Baliarda,"100,7",mg,60,"hierro+vit.b12+fólico,ác._100,7_mg_60",202504,16150.24
52332,clonazepam,NEURYL 0.5,0.5 mg comp.x 60,Bag¿,"0,5",mg,60,"clonazepam_0,5_mg_60",202504,5839.33
52333,clonazepam,NEURYL 1,1 mg comp.x 60,Bag¿,"1,0",mg,60,"clonazepam_1,0_mg_60",202504,6169.54
52337,clonazepam,NEURYL 2,2 mg comp.x 60,Bag¿,"2,0",mg,60,"clonazepam_2,0_mg_60",202504,2531.5
52344,paracetamol+ibuprofeno,DUOMAX,comp.x 10,Sidus,"725,0",mg,10,"paracetamol+ibuprofeno_725,0_mg_10",202504,4413.16
52345,paracetamol+ibuprofeno,DUOMAX,comp.x 20,Sidus,"725,0",mg,20,"paracetamol+ibuprofeno_725,0_mg_20",202504,8101.93
52354,"salbutamol+ipratropio,br.",IPRASALB,sol.monods. x 20,Valmax,"3500,0",mcg,20,"salbutamol+ipratropio,br._3500,0_mcg_20",202504,4452.02
52431,pregabalina,MYSTIKA,25 mg comp.x 30,Richmond,"25,0",mg,30,"pregabalina_25,0_mg_30",202504,296.84
52432,diacereína+sulf.glucosamina pot.,NULARTRIN GLUCO,caps.x 60,Teva Argentina,"775,0",mg,60,"diacereína+sulf.glucosamina pot._775,0_mg_60",202504,821.63
52433,metoclopramida+pancreatina+asoc.,PRAXIS NF,comp.x 30,Teva Argentina,"10,0",mg,30,"metoclopramida+pancreatina+asoc._10,0_mg_30",202504,5791.21
52434,metoclopramida+pancreatina+asoc.,PRAXIS NF,comp.x 60,Teva Argentina,"10,0",mg,60,"metoclopramida+pancreatina+asoc._10,0_mg_60",202504,587.95
52435,rosuvastatina+ezetimibe,ARTOMEY DUO 5/10,comp.x 60 (30+30),Teva Argentina,"15,0",mg,60,"rosuvastatina+ezetimibe_15,0_mg_60",202504,12438.13
52436,rosuvastatina+ezetimibe,ARTOMEY DUO 10/10,comp.x 60 (30+30),Teva Argentina,"20,0",mg,60,"rosuvastatina+ezetimibe_20,0_mg_60",202504,13506.42
52437,rosuvastatina+ezetimibe,ARTOMEY DUO 20/10,comp.x 60 (30+30),Teva Argentina,"30,0",mg,60,"rosuvastatina+ezetimibe_30,0_mg_60",202504,23341.9
52441,imiquimod,IMIMORE,5% cr.x 3 g,Panalab,"150,0",mg,1,"imiquimod_150,0_mg_1",202504,11184.84
52442,imiquimod,IMIMORE,5% cr.x 6 g,Panalab,"300,0",mg,1,"imiquimod_300,0_mg_1",202504,15549.97
52445,diclofenac potásico+paracetamol,DICLOMAR GESIC,50/500 mg comp.rec.x 30,Mar,"550,0",mg,30,"diclofenac potásico+paracetamol_550,0_mg_30",202504,7902.0
52447,tadalafilo,H36 LAZAR,20 mg comp.rec.x 2,Lazar,"20,0",mg,2,"tadalafilo_20,0_mg_2",202504,7845.35
52460,risperidona,RISPERDAL CONSTA,25 mg vial a.x 1+aguja,Janssen-Cilag,"25,0",mg,1,"risperidona_25,0_mg_1",202504,81388.53
52461,risperidona,RISPERDAL CONSTA,37.5 mg vial a.x 1+aguja,Janssen-Cilag,"37,5",mg,1,"risperidona_37,5_mg_1",202504,119989.64
52477,promestriene,MENOCLIM PRO,cr.x 15 g,Beta,"150,0",mg,1,"promestriene_150,0_mg_1",202504,9005.63
52478,promestriene,MENOCLIM PRO,óv. x 10,Beta,"10,0",mg,10,"promestriene_10,0_mg_10",202504,8631.18
52479,promestriene,MENOCLIM PRO,óv. x 20,Beta,"10,0",mg,20,"promestriene_10,0_mg_20",202504,15967.62
52482,metoclopramida,RELIVERAN INYECTABLE,10 mg a.x 3 x 2 ml,Gador,"30,0",mg,3,"metoclopramida_30,0_mg_3",202504,3858.35
52483,metoclopramida,RELIVERAN INYECTABLE,10 mg a.x 6 x 2 ml,Gador,"60,0",mg,6,"metoclopramida_60,0_mg_6",202504,7329.82
52489,"fluticasona,propionato",FLIXOTIDE NEBULES,2 mg/2 ml a.x 10,GlaxoSmithKline,,No Clasificada,120,"fluticasona,propionato_No Clasificada_120",202504,227.86
52490,"fluticasona,propionato",FLIXOTIDE NEBULES,0.5 mg/2 ml a.x 10,GlaxoSmithKline,,No Clasificada,120,"fluticasona,propionato_No Clasificada_120",202504,250.05
52491,solifenacina+tamsulosina,URIFEX,6mg/0.4mg comp.lib.c.x30,Baliarda,"6,4",mg,30,"solifenacina+tamsulosina_6,4_mg_30",202504,18900.71
52492,levetiracetam,LEVECOM 500,500 mg comp.rec.ran.x 30,Baliarda,"500,0",mg,30,"levetiracetam_500,0_mg_30",202504,29218.12
52493,magnesio+asoc.,TOTAL MAGNESIANO VITALIZANTE PLUS,comp.rec.x 30,Temis-Lostal¿,,No Clasificada,30,magnesio+asoc._No Clasificada_30,202504,12336.47
52495,magnesio+asoc.,TOTAL MAGNESIANO VITALIZANTE PLUS,comp.eferv.x 24,Temis-Lostal¿,,No Clasificada,24,magnesio+asoc._No Clasificada_24,202504,14817.47
52499,midazolam,REM CHOBET,15 mg comp.x 10,Soubeiran Chobe,"15,0",mg,10,"midazolam_15,0_mg_10",202504,2425.7
52500,midazolam,REM CHOBET,15 mg comp.x 30,Soubeiran Chobe,"15,0",mg,30,"midazolam_15,0_mg_30",202504,5491.6
52501,midazolam,REM CHOBET,15 mg comp.x 50,Soubeiran Chobe,"15,0",mg,50,"midazolam_15,0_mg_50",202504,8650.62
52509,salbutamol,SALBUNEB,fco.x 20 ml,Valmax,"100000,0",mcg,1,"salbutamol_100000,0_mcg_1",202504,912.18
52510,meloxicam,MELL,15 mg comp.x 10,Microsules Arg.,"15,0",mg,10,"meloxicam_15,0_mg_10",202504,4536.8
52511,meloxicam,MELL,15 mg comp.x 30,Microsules Arg.,"15,0",mg,30,"meloxicam_15,0_mg_30",202504,5388.07
52534,gatifloxacina+dexametasona,GATIFLAX D,susp.oftálmica x 5 ml,Sidus,"20,0",mg,1,"gatifloxacina+dexametasona_20,0_mg_1",202504,12447.04
52546,carvedilol,VEDILEP 25,25 mg comp.trirran.x 28,Lepetit,"25,0",mg,28,"carvedilol_25,0_mg_28",202504,3452.66
52551,nebivolol,NIDIB,10 mg comp.birran.x 28,Baliarda,"10,0",mg,28,"nebivolol_10,0_mg_28",202504,13753.38
52552,rosuvastatina,ROXOLAN,40 mg comp.rec.x 30,Siegfried,"40,0",mg,30,"rosuvastatina_40,0_mg_30",202504,30053.81
52561,clopidogrel,DANIR,75 mg comp.x 30,Craveri,"75,0",mg,30,"clopidogrel_75,0_mg_30",202504,767.1
52584,"timolol,maleato",TIMOPLOS LC,sol.oft.estér.x 7.5 ml,Novoplos,"37,5",mg,1,"timolol,maleato_37,5_mg_1",202504,2823.31
52589,itopride,IDELIS,50 mg comp.x 30,Casasco,"50,0",mg,30,"itopride_50,0_mg_30",202504,8392.7
52591,cilostazol,ACLUSIN,100 mg comp.x 60,Casasco,"100,0",mg,60,"cilostazol_100,0_mg_60",202504,19839.67
52593,doxilamina+piridoxina,TUERIS,cáps.x 24,Megalabs Argent,"20,0",mg,24,"doxilamina+piridoxina_20,0_mg_24",202504,9586.96
52594,"fólico,ác.",TANVIMIL FOLICO,gts.x 10 ml,Megalabs Argent,"50,0",mg,1,"fólico,ác._50,0_mg_1",202504,3191.48
52596,lidocaína+hidrocortisona,POMADA HADENSA PLUS,cr.x 15 g,Biosintex Retai,"787,5",mg,1,"lidocaína+hidrocortisona_787,5_mg_1",202504,2796.55
52607,atorvastatín,FINLIPOL,40 mg comp.x 30,Microsules Arg.,"40,0",mg,30,"atorvastatín_40,0_mg_30",202504,8997.45
52609,betametasona,METABULGIN,cr.x 20 g,Biosintex,"10,0",mg,1,"betametasona_10,0_mg_1",202504,141.0
52612,pregabalina,PREBIEN 150 DIVIDOSIS,150 mg comp.birran.x 30,Ariston,"150,0",mg,30,"pregabalina_150,0_mg_30",202504,17551.39
52618,hialuronato sódico+asoc.,CRUZAL L 20,jga.prell.+f.a.+adapt.,Finadiet,,No Clasificada,3,hialuronato sódico+asoc._No Clasificada_3,202504,5145.68
52625,pregabalina,PRINCIPIA,25 mg cáps.x 30,Elea,"25,0",mg,30,"pregabalina_25,0_mg_30",202504,6217.71
52627,pregabalina,PRINCIPIA,75 mg cáps.x 30,Elea,"75,0",mg,30,"pregabalina_75,0_mg_30",202504,19039.55
52628,pregabalina,PRINCIPIA,75 mg cáps.x 60,Elea,"75,0",mg,60,"pregabalina_75,0_mg_60",202504,29950.9
52629,pregabalina,PRINCIPIA,150 mg cáps.x 30,Elea,"150,0",mg,30,"pregabalina_150,0_mg_30",202504,28025.83
52630,pregabalina,PRINCIPIA,300 mg cáps.x 30,Elea,"300,0",mg,30,"pregabalina_300,0_mg_30",202504,36437.03
52644,umeclidinio,INCRUSE ELLIPTA,55mcg pvo.inh.x 30 ds.,GlaxoSmithKline,"55,0",mcg,30,"umeclidinio_55,0_mcg_30",202504,28707.63
52660,azitromicina,TRIAMID,500 mg comp.rec.x 6,Beta,"500,0",mg,6,"azitromicina_500,0_mg_6",202504,6583.16
52661,tramadol,TRAMADOLTEN,50 mg comp.x 20,Pfizer,"50,0",mg,20,"tramadol_50,0_mg_20",202504,761.37
52664,vit.d3,ORAVIL CB,cáps.blandas x 2,Trb-Pharma,"2,5",mg,2,"vit.d3_2,5_mg_2",202504,9420.0
52670,diclofenac+pridinol,IGLODINE FLEX,comp.x 15,Fecofar,"54,0",mg,15,"diclofenac+pridinol_54,0_mg_15",202504,4154.75
52671,diclofenac sódico,IGLODINE 75,75 mg comp.rec.x 15,Fecofar,"75,0",mg,15,"diclofenac sódico_75,0_mg_15",202504,5047.19
52677,losartán,LOPLAC,50 mg comp.x 60,Casasco,"50,0",mg,60,"losartán_50,0_mg_60",202504,7989.59
52678,amlodipina,PELMEC,5 mg comp.x 60,Casasco,"5,0",mg,60,"amlodipina_5,0_mg_60",202504,9981.25
52679,amlodipina,PELMEC,10 mg comp.x 60,Casasco,"10,0",mg,60,"amlodipina_10,0_mg_60",202504,17589.37
52682,nebivolol,CORPRES 10,10 mg comp.x 30,Roemmers,"10,0",mg,30,"nebivolol_10,0_mg_30",202504,14424.65
52683,nebivolol,CORPRES 5,5 mg comp.x 30,Roemmers,"5,0",mg,30,"nebivolol_5,0_mg_30",202504,7564.19
52684,nebivolol,CORPRES 2.5,2.5 mg comp.x 30,Roemmers,"2,5",mg,30,"nebivolol_2,5_mg_30",202504,3700.25
52685,"amlodipina+losartán,potásico",LOSACOR A,5/50 mg comp.rec.x 30,Roemmers,"55,0",mg,30,"amlodipina+losartán,potásico_55,0_mg_30",202504,12151.62
52686,"amlodipina+losartán,potásico",LOSACOR A,5/100 mg comp.rec.x 30,Roemmers,"105,0",mg,30,"amlodipina+losartán,potásico_105,0_mg_30",202504,13483.29
52689,olanzapina,ONOTRAN,10 mg comp.rec.x 28,Lepetit,"10,0",mg,28,"olanzapina_10,0_mg_28",202504,19892.91
52690,olanzapina,ONOTRAN,5 mg comp.rec.x 28,Lepetit,"5,0",mg,28,"olanzapina_5,0_mg_28",202504,10575.97
52691,quetiapina,KENANTIS,25 mg comp.x 30,Lepetit,"25,0",mg,30,"quetiapina_25,0_mg_30",202504,8958.25
52692,quetiapina,KENANTIS,100 mg comp.x 30,Lepetit,"100,0",mg,30,"quetiapina_100,0_mg_30",202504,13980.2
52693,quetiapina,KENANTIS,200 mg comp.x 30,Lepetit,"200,0",mg,30,"quetiapina_200,0_mg_30",202504,16830.74
52694,rosuvastatina,ROSUX,5 mg comp.x 30,Lepetit,"5,0",mg,30,"rosuvastatina_5,0_mg_30",202504,3393.25
52695,rosuvastatina,ROSUX,10 mg comp.x 30,Lepetit,"10,0",mg,30,"rosuvastatina_10,0_mg_30",202504,6786.74
52696,rosuvastatina,ROSUX,20 mg comp.x 30,Lepetit,"20,0",mg,30,"rosuvastatina_20,0_mg_30",202504,8143.68
52698,valsartán,COROSAN,80 mg comp.x 30,Elea,"80,0",mg,30,"valsartán_80,0_mg_30",202504,9198.92
52699,valsartán,COROSAN,160 mg comp.x 30,Elea,"160,0",mg,30,"valsartán_160,0_mg_30",202504,10923.11
52700,valsartán,COROSAN,320 mg comp.x 30,Elea,"320,0",mg,30,"valsartán_320,0_mg_30",202504,12584.91
52701,rosuvastatina,LIPEX,5 mg comp.x 30,Elea,"5,0",mg,30,"rosuvastatina_5,0_mg_30",202504,6901.99
52702,rosuvastatina,LIPEX,10 mg comp.x 30,Elea,"10,0",mg,30,"rosuvastatina_10,0_mg_30",202504,10761.98
52703,rosuvastatina,LIPEX,20 mg comp.x 30,Elea,"20,0",mg,30,"rosuvastatina_20,0_mg_30",202504,19612.95
52704,rosuvastatina,LIPEX,40 mg comp.x 30,Elea,"40,0",mg,30,"rosuvastatina_40,0_mg_30",202504,31178.3
52716,montelukast,LUKAST 4,4 mg sob.monods.x 30,Bag¿,"4,0",mg,30,"montelukast_4,0_mg_30",202504,16018.02
52719,rosuvastatina,ASTENDE,20 mg comp.rec.x 14,Lazar,"20,0",mg,14,"rosuvastatina_20,0_mg_14",202504,1311.29
52738,bimatoprost+timolol,GANFORT UD,sol.oft.x 30 ds.x 0.4 ml,Abbvie Allergan,"2,1",mg,1,"bimatoprost+timolol_2,1_mg_1",202504,16448.14
52739,duloxetina,DULOXIN,30 mg caps.x 10,Eurofarma,"30,0",mg,10,"duloxetina_30,0_mg_10",202504,419.74
52740,duloxetina,DULOXIN,30 mg cáps.x 30,Eurofarma,"30,0",mg,30,"duloxetina_30,0_mg_30",202504,20741.55
52741,duloxetina,DULOXIN,60 mg cáps.x 30,Eurofarma,"60,0",mg,30,"duloxetina_60,0_mg_30",202504,20903.41
52761,carvedilol,VERATEN,3.125 mg comp.x 30,Elea,"3,1",mg,30,"carvedilol_3,1_mg_30",202504,2176.07
52762,carvedilol,VERATEN,6.25 mg comp.x 30,Elea,"6,3",mg,30,"carvedilol_6,3_mg_30",202504,3967.41
52764,carvedilol,VERATEN,12.5 mg comp.x 30,Elea,"12,5",mg,30,"carvedilol_12,5_mg_30",202504,4958.95
52767,carvedilol,VERATEN,25 mg comp.x 30,Elea,"25,0",mg,30,"carvedilol_25,0_mg_30",202504,5973.58
52769,carvedilol,VERATEN UD,10 mg cáps.lib.ext.x 30,Elea,"10,0",mg,30,"carvedilol_10,0_mg_30",202504,4491.04
52770,carvedilol,VERATEN UD,20 mg cáps.lib.ext.x 30,Elea,"20,0",mg,30,"carvedilol_20,0_mg_30",202504,7109.76
52772,carvedilol,VERATEN UD,40 mg cáps.lib.ext.x 30,Elea,"40,0",mg,30,"carvedilol_40,0_mg_30",202504,8896.68
52775,carvedilol,VERATEN UD,80 mg cáps.lib.ext.x 30,Elea,"80,0",mg,30,"carvedilol_80,0_mg_30",202504,10892.64
52802,itraconazol,SALIMIDIN 200,200 mg cáps.x 7,Megalabs Argent,"200,0",mg,7,"itraconazol_200,0_mg_7",202504,8995.72
52803,itraconazol,SALIMIDIN 200,200 mg cáps.x 14,Megalabs Argent,"200,0",mg,14,"itraconazol_200,0_mg_14",202504,15910.46
52804,itraconazol,SALIMIDIN 200,200 mg cáps.x 21,Megalabs Argent,"200,0",mg,21,"itraconazol_200,0_mg_21",202504,19464.17
52808,valsartán+hidrocloroti.+amlodip.,RACORVAL 3D,160/5/12.5mg comp.recx28,Roemmers,"177,5",mg,28,"valsartán+hidrocloroti.+amlodip._177,5_mg_28",202504,18249.24
52809,clobetasol,KLOMADEX,cr.x 30 g,Biosintex,"15,0",mg,1,"clobetasol_15,0_mg_1",202504,2871.6
52828,betahistina,OTEVIL,16 mg comp.x 30,Casasco,"16,0",mg,30,"betahistina_16,0_mg_30",202504,6008.67
52829,betahistina,OTEVIL,24 mg comp.x 30,Casasco,"24,0",mg,30,"betahistina_24,0_mg_30",202504,9004.35
52847,desloratadina,TERALMINA,5 mg comp.rec.x 7,Microsules Arg.,"5,0",mg,7,"desloratadina_5,0_mg_7",202504,3409.96
52848,desloratadina,TERALMINA,5 mg comp.rec.x 14,Microsules Arg.,"5,0",mg,14,"desloratadina_5,0_mg_14",202504,5969.29
52849,diosmina,DIOSMIN CREMA,pomo x 90 g,Craveri,"5400,0",mg,1,"diosmina_5400,0_mg_1",202504,11788.33
52859,carvedilol,CARVIPAW,3.125 mg comp.x 30,Rospaw,"3,1",mg,30,"carvedilol_3,1_mg_30",202504,37.36
52860,carvedilol,CARVIPAW,6.25 mg comp.x 30,Rospaw,"6,3",mg,30,"carvedilol_6,3_mg_30",202504,3025.36
52861,carvedilol,CARVIPAW,12.5 mg comp.x 30,Rospaw,"12,5",mg,30,"carvedilol_12,5_mg_30",202504,3781.02
52862,carvedilol,CARVIPAW,25 mg comp.x 30,Rospaw,"25,0",mg,30,"carvedilol_25,0_mg_30",202504,4656.89
52863,carvedilol,CARVIPAW,50 mg comp.x 30,Rospaw,"50,0",mg,30,"carvedilol_50,0_mg_30",202504,86.8
52870,valsartán,RACORVAL,320 mg comp.rec.x 30,Roemmers,"320,0",mg,30,"valsartán_320,0_mg_30",202504,11512.41
52884,rifaximina,ROCIAMIN,200 mg comp.rec.x 20,Laboratorios Be,"200,0",mg,20,"rifaximina_200,0_mg_20",202504,8417.96
52885,rifaximina,ROCIAMIN,200 mg comp.rec.x 40,Laboratorios Be,"200,0",mg,40,"rifaximina_200,0_mg_40",202504,15861.78
52886,rifaximina,ROCIAMIN,400 mg comp.rec.x 30,Laboratorios Be,"400,0",mg,30,"rifaximina_400,0_mg_30",202504,22883.46
52890,alprazolam,PRINOX 1 MG,1 mg comp.x 30,Eurofarma,"1,0",mg,30,"alprazolam_1,0_mg_30",202504,2950.17
52891,alprazolam,PRINOX 1 MG,1 mg comp.x 50,Eurofarma,"1,0",mg,50,"alprazolam_1,0_mg_50",202504,5524.46
52892,alprazolam,PRINOX 0.5 MG,0.5 mg comp.x 30,Eurofarma,"0,5",mg,30,"alprazolam_0,5_mg_30",202504,1892.98
52893,alprazolam,PRINOX 0.5 MG,0.5 mg comp.x 50,Eurofarma,"0,5",mg,50,"alprazolam_0,5_mg_50",202504,2823.08
52894,alprazolam,PRINOX 2 MG,2 mg comp.x 50,Eurofarma,"2,0",mg,50,"alprazolam_2,0_mg_50",202504,8078.08
52895,alprazolam,PRINOX 2 MG,2 mg comp.x 30,Eurofarma,"2,0",mg,30,"alprazolam_2,0_mg_30",202504,4421.13
52896,alprazolam,PRINOX 0.25 MG,0.25 mg comp.x 50,Eurofarma,"0,3",mg,50,"alprazolam_0,3_mg_50",202504,126.58
52897,alprazolam,PRINOX 0.25 MG,0.25 mg comp.x 30,Eurofarma,"0,3",mg,30,"alprazolam_0,3_mg_30",202504,69.98
52901,diclofenac sódico,RODINAC 75,comp.x 10,G¿minis Farmac¿,"75,0",mg,10,"diclofenac sódico_75,0_mg_10",202504,4248.52
52910,olopatadine,OLORATAN,0.2% sol.oft.x 2.5 ml,Sidus,"5,0",mg,1,"olopatadine_5,0_mg_1",202504,9707.78
